case_id,conversation_id,tweet_id,parent_tweet_id,created_at,author_id,inbound,text
AMZ_0001,1266439,1266437,1266439,Thu Oct 26 12:52:31 +0000 2017,AmazonHelp,False,<USER_1> Did you provide your information using the link provided by LS? ^MJ
AMZ_0001,1266439,1266438,1266437,Thu Oct 26 12:53:19 +0000 2017,<USER_1>,True,@AmazonHelp Oh yes. This is a new problem however. A bed frame was supposed to be delivered today and it says delayed. <USER_1> has no answers.
AMZ_0001,1266439,1266439,,Thu Oct 26 12:47:49 +0000 2017,<USER_1>,True,When you order shit from <USER_1> and expect it to arrive by the date they say and NOTHING gets here! Awesome. Cool. Amazing. 😡😡😡
AMZ_0001,1266439,1266440,1266438,Thu Oct 26 13:09:34 +0000 2017,AmazonHelp,False,<USER_1> Is there any update on the tracking?^CD
AMZ_0001,1266439,1266441,1266440,Thu Oct 26 13:10:38 +0000 2017,<USER_1>,True,@AmazonHelp Nope it just says delayed.
AMZ_0001,1266439,1266442,1266441,Thu Oct 26 13:17:00 +0000 2017,AmazonHelp,False,"<USER_1> That sucks your package is delayed. For options, go ahead and contact us by chat or phone here: https://t.co/hApLpMlfHN ^DA"
AMZ_0002,912741,912740,912741,Fri Oct 13 20:06:00 +0000 2017,AmazonHelp,False,"<USER_1> We'll reach you, once we receive an update from the concerned team. Appreciate your understanding. (2/2) ^SV"
AMZ_0002,912741,912741,,Fri Oct 13 19:48:09 +0000 2017,<USER_1>,True,<USER_1> team is not as efficient as <USER_1> team.I am following up with India team for last 3weeks but I have not received my cashback yet
AMZ_0002,912741,912742,912741,Fri Oct 13 20:06:00 +0000 2017,AmazonHelp,False,"<USER_1> I understand your concern about the promotional offer, Chetan. We've escalated your concern with internal teams.(1/n) ^SV"
AMZ_0003,2560163,2560161,2560163,Thu Nov 16 17:39:01 +0000 2017,AmazonHelp,False,"<USER_1> Bonsoir, je comprends votre situation, et j'en suis navrée. La commande est-elle expédiée ? Si oui, que mentionne le suivi du colis? ^FT"
AMZ_0003,2560163,2560162,2560161,Thu Nov 16 17:40:59 +0000 2017,<USER_1>,True,@AmazonHelp non … j’ai preco pour m’entendre dire «  nous n’avons plus les produits «  et «  on sait jamais on va peut être les recevoir ce soir ‘ …a 49 aeuros par an … je suis juste dégoutée ….
AMZ_0003,2560163,2560163,,Thu Nov 16 17:34:20 +0000 2017,<USER_1>,True,"@AmazonHelp la franchement , je suis dégoutée …  je paye un service a 49 euros par an … pour du «  on ne sait jamais «  …. J’ai pas les mots .. https://t.co/5CfU4912LU"
AMZ_0003,2560163,2560164,2560162,Thu Nov 16 17:54:30 +0000 2017,AmazonHelp,False,"<USER_1> Merci de nous tenir informé de la situation s'il vous plaît, nous restons à votre disposition en cas de besoin."
AMZ_0003,2560163,2560165,2560164,Thu Nov 16 17:57:23 +0000 2017,<USER_1>,True,"@AmazonHelp ah bah c’est plutôt simple , j’ai demandé a annuler la commande .. chose qui cela dit en passant il n’as pas fait, j’ai du le faire moi.. ET j’aimerai grandement parler a un responsable … parce que la je suis outrée"
AMZ_0003,2560163,2560166,2560165,Thu Nov 16 18:19:28 +0000 2017,AmazonHelp,False,"<USER_1> J'en suis navrée, vous pouvez joindre notre service client par téléphone (appel gratuit depuis un poste fixe), chat ou par mail depuis le lien suivant : https://t.co/qzuu0dgDXz. ^ASZ"
AMZ_0003,2560163,2560167,2560166,Thu Nov 16 18:55:49 +0000 2017,<USER_1>,True,"@AmazonHelp ca va changer quoi de plus ? on va enfin me dire pourquoi je paye 49 euros pour m’entendre dire «  ah bah non ta preco on s’en fous et puis ben peut être que si on en reçoit d’autre ben on t’en enverra un «  , parce que oui c’est clairement ce que je ressens."
AMZ_0003,2560163,2560168,2560167,Thu Nov 16 19:05:26 +0000 2017,AmazonHelp,False,<USER_1> L'avez-vous déjà contacté à ce propos?
AMZ_0003,2560163,2560169,2560168,Thu Nov 16 19:06:26 +0000 2017,<USER_1>,True,@AmazonHelp Bah bien sur . Et c'est ce qu'on m'as répondu. En gros.
AMZ_0003,2560163,2560170,2560169,Thu Nov 16 19:18:00 +0000 2017,AmazonHelp,False,"<USER_1> N'ayant pas accès à votre compte sur Twitter, je vous invite à contacter notre SAV en cliquant sur le lien fourni par mon collègue.
^MD"
AMZ_0003,2560163,2560171,2560170,Thu Nov 16 19:22:11 +0000 2017,<USER_1>,True,@AmazonHelp c’est une blague ? il a falloir que je le dise a combien de personne ?  je peux pas avoir a faire a une seule et meme personne plutôt que vous tous … pour me dire exactement la meme chose ? et que je vous aussi la meme chose ?
AMZ_0003,2560163,2560172,2560171,Thu Nov 16 19:31:29 +0000 2017,AmazonHelp,False,<USER_1> L'abonnement Prime vous donne accès plusieurs avantages notamment de livraison mais n'a aucune influence sur le délai d'approvisionnement des articles. Puisque votre précommande a été annulée nous ne pouvons pas vous assister davantage sur cette demande. ^MH
AMZ_0003,2560163,2560173,2560172,Thu Nov 16 19:33:58 +0000 2017,<USER_1>,True,"@AmazonHelp en revanche , un mail de confirmation disant que je le recevrai le 17 ca dit quoi ?"
